"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","version","parA"
"","psychophysics","55","281359","0.0-55.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2934",""," ","key"," ","16.66857142857143","500","250","br","-22","7","-5","-8","1","203"
"","psychophysics","56","282841","0.0-56.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","1474",""," ","key"," ","16.670454545454547","500","250","inst","","","","","",""
"","psychophysics","57","286276","0.0-57.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3431",""," ","key"," ","16.673170731707316","500","250","instPz0","50","","","50","1","50"
"","psychophysics","58","295306","0.0-58.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","9026",""," ","key"," ","16.66728280961183","500","250","instPz1","46","","","25","1","50"
"","psychophysics","59","298673","0.0-59.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3363",""," ","key"," ","16.666666666666668","500","250","instPz2","23","","","15","1","25"
"","psychophysics","60","304111","0.0-60.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","5433",""," ","key"," ","16.667692307692306","500","250","instPz3","46","","","25","1","50"
"","psychophysics","61","309301","0.0-61.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","5185",""," ","key"," ","16.66774193548387","500","250","instPz4","38","","","15","1","30"
"","psychophysics","62","312148","0.0-62.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2842",""," ","key"," ","16.658823529411766","500","250","inst","","","","","",""
"","psychophysics","63","317264","0.0-63.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","5111",""," ","key"," ","16.666666666666668","500","250","pz","52","","","29","1","49"
"","psychophysics","64","322709","0.0-64.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","5439",""," ","key"," ","16.665644171779142","500","250","pz","35","","","58","1","20"
"","psychophysics","65","326673","0.0-65.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3959",""," ","key"," ","16.666666666666668","500","250","pz","62","","","38","1","50"
"","psychophysics","66","330515","0.0-66.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3843",""," ","key"," ","16.66812227074236","500","250","pz","60","","","33","1","46"
"","psychophysics","67","335269","0.0-67.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4754",""," ","key"," ","16.659649122807018","500","250","pz","64","","","24","1","43"
"","psychophysics","68","339131","0.0-68.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3858",""," ","key"," ","16.666666666666668","500","250","pz","39","","","21","1","25"
"","psychophysics","69","342489","0.0-69.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3356",""," ","key"," ","16.665","500","250","pz","47","","","23","1","26"
"","psychophysics","70","345789","0.0-70.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3294",""," ","key"," ","16.65482233502538","500","250","pz","32","","","41","1","20"
"","psychophysics","71","348427","0.0-71.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2633",""," ","key"," ","16.651898734177216","500","250","pz","59","","","59","1","34"
"","psychophysics","72","353377","0.0-72.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4947",""," ","key"," ","16.66891891891892","500","250","pz","94","","","54","1","60"
"","psychophysics","73","356062","0.0-73.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2679",""," ","key"," ","16.66875","500","250","pz","68","","","53","1","39"
"","psychophysics","74","359732","0.0-74.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3664",""," ","key"," ","16.666666666666668","500","250","pz","60","","","36","1","45"
"","psychophysics","75","363622","0.0-75.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3885",""," ","key"," ","16.665236051502145","500","250","pz","64","","","36","1","49"
"","psychophysics","76","367073","0.0-76.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3447",""," ","key"," ","16.66990291262136","500","250","pz","61","","","38","1","44"
"","psychophysics","77","371506","0.0-77.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4430",""," ","key"," ","16.667924528301885","500","250","pz","59","","","24","1","43"
"","psychophysics","78","372779","0.0-78.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","1268",""," ","key"," ","16.68","500","250","inst","","","","","",""
"","psychophysics","79","381664","0.0-79.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","8879",""," ","key"," ","16.667293233082706","500","250","instPog0","340","0","0","370","2","340"
"","psychophysics","80","392555","0.0-80.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","10887",""," ","key"," ","16.666156202143952","500","250","instPog1","336","0","0","370","2","340"
"","psychophysics","81","399963","0.0-81.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","7405",""," ","key"," ","16.668171557562076","500","250","instPog2","320","0","0","340","2","340"
"","psychophysics","82","400855","0.0-82.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","887",""," ","key"," ","16.67924528301887","500","250","inst","","","","","",""
"","psychophysics","83","404682","0.0-83.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3823",""," ","key"," ","16.67105263157895","500","250","pog","370","0","0","400","2","380"
"","psychophysics","84","408045","0.0-84.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3357",""," ","key"," ","16.65671641791045","500","250","pog","366","0","0","392","2","371"
"","psychophysics","85","409156","0.0-85.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","1107",""," ","key"," ","16.666666666666668","500","250","pog","349","0","0","349","2","372"
"","psychophysics","86","413010","0.0-86.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3849",""," ","key"," ","16.66521739130435","500","250","pog","298","0","0","348","2","310"
"","psychophysics","87","414835","0.0-87.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","1820",""," ","key"," ","16.666666666666668","500","250","pog","362","0","0","364","2","373"
"","psychophysics","88","416975","0.0-88.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2138",""," ","key"," ","16.6484375","500","250","pog","349","0","0","363","2","364"
"","psychophysics","89","418765","0.0-89.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","1784",""," ","key"," ","16.660377358490567","500","250","pog","295","0","0","297","2","304"
"","psychophysics","90","424371","0.0-90.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","5601",""," ","key"," ","16.663690476190474","500","250","pog","332","0","0","292","2","368"
"","psychophysics","91","428872","0.0-91.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4497",""," ","key"," ","16.66542750929368","500","250","pog","347","0","0","395","2","364"
"","psychophysics","92","434165","0.0-92.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","5285",""," ","key"," ","16.667721518987342","500","250","pog","324","0","0","284","2","359"
"","psychophysics","93","439045","0.0-93.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4876",""," ","key"," ","16.664383561643834","500","250","pog","313","0","0","375","2","325"
"","psychophysics","94","442850","0.0-94.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3797",""," ","key"," ","16.665198237885463","500","250","pog","349","0","0","371","2","355"
"","psychophysics","95","447259","0.0-95.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4405",""," ","key"," ","16.66287878787879","500","250","pog","315","0","0","287","2","330"
"","psychophysics","96","451518","0.0-96.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4254",""," ","key"," ","16.673228346456693","500","250","pog","286","0","0","326","2","302"
"","psychophysics","97","458599","0.0-97.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","7076",""," ","key"," ","16.65566037735849","500","250","pog","298","0","0","398","2","311"
"","psychophysics","98","459659","0.0-98.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","1054",""," ","key"," ","16.650793650793652","500","250","inst","","","","","",""
"","psychophysics","99","461829","0.0-99.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2165",""," ","key"," ","16.666666666666668","500","250","instEB0","40","0","0","40","","40"
"","psychophysics","100","468832","0.0-100.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","6996",""," ","key"," ","16.668257756563246","500","250","instEB1","70","0","0","30","2","70"
"","psychophysics","101","476326","0.0-101.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","7490",""," ","key"," ","16.665924276169264","500","250","instEB2","46","0","0","60","2","40"
"","psychophysics","102","484650","0.0-102.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","8319",""," ","key"," ","16.666666666666668","500","250","instEB3","64","0","0","45","2","65"
"","psychophysics","103","489818","0.0-103.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","5163",""," ","key"," ","16.663430420711975","500","250","instEB4","58","0","0","40","2","40"
"","psychophysics","104","490689","0.0-104.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","868",""," ","key"," ","16.634615384615383","500","250","inst","","","","","",""
"","psychophysics","105","494199","0.0-105.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3505",""," ","key"," ","16.669856459330145","500","250","eb","52","0","0","33","2","40"
"","psychophysics","106","496800","0.0-106.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2596",""," ","key"," ","16.664516129032258","500","250","eb","45","0","0","33","2","37"
"","psychophysics","107","497959","0.0-107.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","1154",""," ","key"," ","16.652173913043477","500","250","eb","44","0","0","44","2","37"
"","psychophysics","108","501990","0.0-108.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4023",""," ","key"," ","16.66804979253112","500","250","eb","54","0","0","29","2","54"
"","psychophysics","109","505159","0.0-109.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3164",""," ","key"," ","16.666666666666668","500","250","eb","56","0","0","35","2","50"
"","psychophysics","110","507361","0.0-110.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2194",""," ","key"," ","16.671755725190838","500","250","eb","59","0","0","53","2","53"
"","psychophysics","111","510409","0.0-111.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3043",""," ","key"," ","16.664835164835164","500","250","eb","44","0","0","25","2","31"
"","psychophysics","112","513301","0.0-112.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2887",""," ","key"," ","16.662790697674417","500","250","eb","46","0","0","30","2","36"
"","psychophysics","113","516212","0.0-113.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2905",""," ","key"," ","16.649425287356323","500","250","eb","44","0","0","52","2","32"
"","psychophysics","114","519026","0.0-114.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2811",""," ","key"," ","16.666666666666668","500","250","eb","60","0","0","44","2","54"
"","psychophysics","115","521730","0.0-115.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2697",""," ","key"," ","16.67080745341615","500","250","eb","50","0","0","54","2","44"
"","psychophysics","116","524339","0.0-116.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2604",""," ","key"," ","16.666666666666668","500","250","eb","39","0","0","43","2","30"
"","psychophysics","117","525133","0.0-117.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","790",""," ","key"," ","16.67391304347826","500","250","eb","39","0","0","39","2","30"
"","psychophysics","118","528361","0.0-118.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3222",""," ","key"," ","16.6580310880829","500","250","eb","51","0","0","42","2","49"
"","psychophysics","119","530990","0.0-119.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2624",""," ","key"," ","16.668789808917197","500","250","eb","44","0","0","54","2","32"
"","psychophysics","120","532167","0.0-120.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","1173",""," ","key"," ","16.666666666666668","500","250","inst","","","","","",""
"","psychophysics","121","537679","0.0-121.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","5506",""," ","key"," ","16.654545454545456","500","250","instBr","39","0","0","40","2","300"
"","psychophysics","122","538537","0.0-122.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","853",""," ","key"," ","16.68","500","250","inst","","","","","",""
"","psychophysics","123","541511","0.0-123.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2970",""," ","key"," ","16.646067415730336","500","250","br","17","-6","19","-2","2","252"
"","psychophysics","124","545388","0.0-124.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3873",""," ","key"," ","16.663793103448278","500","250","br","24","17","26","-7","2","291"
"","psychophysics","125","548601","0.0-125.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3209",""," ","key"," ","16.670157068062828","500","250","br","25","-12","-13","37","2","214"
"","psychophysics","126","555266","0.0-126.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","6661",""," ","key"," ","16.661654135338345","500","250","br","15","19","-12","-47","2","240"
"","psychophysics","127","558718","0.0-127.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3446",""," ","key"," ","16.660194174757283","500","250","br","21","-5","-28","32","2","235"
"","psychophysics","128","562094","0.0-128.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3372",""," ","key"," ","16.65841584158416","500","250","br","20","-3","6","-2","2","236"
"","psychophysics","129","564442","0.0-129.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2341",""," ","key"," ","16.67142857142857","500","250","br","22","11","24","30","2","272"
"","psychophysics","130","570743","0.0-130.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","6296",""," ","key"," ","16.6684350132626","500","250","br","18","-22","-8","-40","2","273"
"","psychophysics","131","573292","0.0-131.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2543",""," ","key"," ","16.664473684210527","500","250","br","30","-12","6","44","2","243"
"","psychophysics","132","576122","0.0-132.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2825",""," ","key"," ","16.674556213017752","500","250","br","20","-4","22","20","2","286"
"","psychophysics","133","579626","0.0-133.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3498",""," ","key"," ","16.669856459330145","500","250","br","21","-21","1","47","2","300"
"","psychophysics","134","582391","0.0-134.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2761",""," ","key"," ","16.666666666666668","500","250","br","21","-13","1","9","2","268"
"","psychophysics","135","588456","0.0-135.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","6059",""," ","key"," ","16.666666666666668","500","250","br","19","7","8","-29","2","297"
"","psychophysics","136","593895","0.0-136.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","5435",""," ","key"," ","16.667692307692306","500","250","br","23","6","-3","-24","2","239"
"","psychophysics","137","599989","0.0-137.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","6088",""," ","key"," ","16.66849315068493","500","250","br","26","-2","-19","-25","2","217"
