"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"3741","key"," "," ","16.743243243243242","500","250","inst","psychophysics","93","506901","0.0-93.0","5","35","","","","","","",""
"7490","key"," "," ","16.661469933184854","500","250","instFlank","psychophysics","94","514396","0.0-94.0","5","35","","","","","0.5","0.3","1"
"4166","key"," "," ","16.666666666666668","500","250","inst","psychophysics","95","518566","0.0-95.0","5","35","","","","","","",""
"4154","key"," "," ","16.662650602409638","500","250","instFlank","psychophysics","96","522723","0.0-96.0","5","35","","","","","0.47","0.3","1"
"5664","key"," "," ","16.666666666666668","500","250","inst","psychophysics","97","528388","0.0-97.0","5","35","","","","","","",""
"6021","key"," "," ","16.663888888888888","500","250","instFlank","psychophysics","98","534412","0.0-98.0","5","35","","","","","0.53","0.3","0"
"2015","key"," "," ","16.666666666666668","500","250","inst","psychophysics","99","536429","0.0-99.0","5","35","","","","","","",""
"5717","key"," "," ","16.666666666666668","500","250","flank","psychophysics","100","542148","0.0-100.0","5","35","","","","","0.53","0.26","0"
"4461","key"," "," ","16.666666666666668","500","250","flank","psychophysics","101","546612","0.0-101.0","5","35","","","","","0.56","0.52","1"
"3250","key"," "," ","16.670103092783506","500","250","flank","psychophysics","102","549867","0.0-102.0","5","35","","","","","0.7100000000000002","0.7","0"
"3268","key"," "," ","16.658163265306122","500","250","flank","psychophysics","103","553140","0.0-103.0","5","35","","","","","0.7100000000000002","0.66","0"
"2955","key"," "," ","16.664772727272727","500","250","flank","psychophysics","104","556098","0.0-104.0","5","35","","","","","0.6800000000000002","0.48","0"
"3096","key"," "," ","16.65945945945946","500","250","flank","psychophysics","105","559198","0.0-105.0","5","35","","","","","0.7100000000000002","0.64","1"
"3037","key"," "," ","16.664835164835164","500","250","flank","psychophysics","106","562240","0.0-106.0","5","35","","","","","0.6200000000000001","0.46","0"
"3183","key"," "," ","16.66842105263158","500","250","flank","psychophysics","107","565427","0.0-107.0","5","35","","","","","0.7700000000000002","0.76","1"
"4561","key"," "," ","16.666666666666668","500","250","flank","psychophysics","108","569992","0.0-108.0","5","35","","","","","0.1999999999999998","0.22","1"
"3195","key"," "," ","16.664921465968586","500","250","flank","psychophysics","109","573191","0.0-109.0","5","35","","","","","0.6800000000000002","0.68","1"
"3050","key"," "," ","16.664835164835164","500","250","flank","psychophysics","110","576244","0.0-110.0","5","35","","","","","0.34999999999999987","0.48","1"
"3812","key"," "," ","16.67105263157895","500","250","flank","psychophysics","111","580062","0.0-111.0","5","35","","","","","0.6200000000000001","0.56","1"
"2667","key"," "," ","16.666666666666668","500","250","flank","psychophysics","112","582732","0.0-112.0","5","35","","","","","0.47","0.44","0"
"2516","key"," "," ","16.649006622516556","500","250","flank","psychophysics","113","585251","0.0-113.0","5","35","","","","","0.47","0.42","1"
"3245","key"," "," ","16.66321243523316","500","250","flank","psychophysics","114","588500","0.0-114.0","5","35","","","","","0.7400000000000002","0.8","0"
"4356","key"," "," ","16.659003831417625","500","250","flank","psychophysics","115","592861","0.0-115.0","5","35","","","","","0.8000000000000003","0.76","0"
"3747","key"," "," ","16.665178571428573","500","250","flank","psychophysics","116","596613","0.0-116.0","5","35","","","","","0.6800000000000002","0.66","0"
"3270","key"," "," ","16.668367346938776","500","250","flank","psychophysics","117","599886","0.0-117.0","5","35","","","","","0.7100000000000002","0.78","0"
"2958","key"," "," ","16.676136363636363","500","250","flank","psychophysics","118","602849","0.0-118.0","5","35","","","","","0.6500000000000001","0.48","0"
"2607","key"," "," ","16.66025641025641","500","250","flank","psychophysics","119","605460","0.0-119.0","5","35","","","","","0.6500000000000001","0.54","1"
"2630","key"," "," ","16.67515923566879","500","250","flank","psychophysics","120","608094","0.0-120.0","5","35","","","","","0.6500000000000001","0.54","1"
"5271","key"," "," ","16.664556962025316","500","250","flank","psychophysics","121","613368","0.0-121.0","5","35","","","","","0.7700000000000002","0.7","1"
"4564","key"," "," ","16.67032967032967","500","250","flank","psychophysics","122","617936","0.0-122.0","5","35","","","","","0.31999999999999984","0.28","1"
"3399","key"," "," ","16.660098522167488","500","250","flank","psychophysics","123","621337","0.0-123.0","5","35","","","","","0.5","0.22","1"
"4400","key"," "," ","16.665399239543728","500","250","flank","psychophysics","124","625740","0.0-124.0","5","35","","","","","0.7700000000000002","0.74","1"
"3808","key"," "," ","16.666666666666668","500","250","flank","psychophysics","125","629552","0.0-125.0","5","35","","","","","0.1699999999999998","0.24","0"
"4553","key"," "," ","16.669117647058822","500","250","flank","psychophysics","126","634107","0.0-126.0","5","35","","","","","0.3799999999999999","0.36","1"
"3096","key"," "," ","16.67027027027027","500","250","flank","psychophysics","127","637206","0.0-127.0","5","35","","","","","0.7700000000000002","0.76","0"
"3836","key"," "," ","16.663755458515283","500","250","flank","psychophysics","128","641046","0.0-128.0","5","35","","","","","0.7700000000000002","0.74","0"
"3362","key"," "," ","16.666666666666668","500","250","flank","psychophysics","129","644411","0.0-129.0","5","35","","","","","0.7400000000000002","0.66","1"
