"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","phase","guide","targ","resp","stimulus","is5","stim"
"","","","","","html-keyboard-response","34","471703","0.0-34.0","1","1","63","","","v","","","","","","","","<p> Ok, now we are going present the same digits as before.  Your job is to say whether the digit is even or odd  If the digit is even, press to v key; if it is odd, press the n key. </p>  <br><br>  Ready? (press v or n)","",""
"","","","","","psychophysics","35","471975","0.0-35.0","1","1","269","key","v","v","16.71099999999933","500","250","5","","","","","0","8"
"","","","","","audio-keyboard-response","36","472479","0.0-36.0","1","1","null","","","null","","","","","","","","media/correct.m4a","",""
"","","","","","psychophysics","37","472751","0.0-37.0","1","1","263","key","v","v","16.71099999999933","500","250","5","","","","","0","8"
"","","","","","audio-keyboard-response","38","473256","0.0-38.0","1","1","null","","","null","","","","","","","","media/correct.m4a","",""
"","","","","","psychophysics","39","473462","0.0-39.0","1","1","203","key","v","v","16.711000000000542","500","250","5","","","","","0","3"
"","","","","","audio-keyboard-response","40","473965","0.0-40.0","1","1","null","","","null","","","","","","","","media/error.m4a","",""
"","","","","","html-keyboard-response","41","474076","0.0-41.0","1","1","110","","","v","","","","","","","","<p> Last part of the experiment. Here, the tasks are going to switch.  For some trials, your job is to decide if the digit is less than or greater than 5.  For others, it is to decide if the digit is even or odd.  You will be told which type of trial the current one is.  But, pay attention, the type of trial changes too.</p>  <br><br>  Ready? (press v or n)","",""
"","","","","","psychophysics","42","474344","0.0-42.0","1","1","266","key","v","v","16.71099999999933","500","250","6","","","","","0","2"
"","","","","","audio-keyboard-response","43","474848","0.0-43.0","1","1","null","","","null","","","","","","","","media/correct.m4a","",""
"","","","","","psychophysics","44","475036","0.0-44.0","1","1","186","key","v","v","16.711000000004955","500","250","6","","","","","1","6"
"","","","","","audio-keyboard-response","45","475538","0.0-45.0","1","1","null","","","null","","","","","","","","media/error.m4a","",""
"","","","","","psychophysics","46","475711","0.0-46.0","1","1","170","key","v","v","16.732300000003306","500","250","6","","","","","0","3"
"","","","","","audio-keyboard-response","47","476213","0.0-47.0","1","1","null","","","null","","","","","","","","media/error.m4a","",""
