"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","jitterX","jitterY","start","parA"
"","psychophysics","42","406666","0.0-42.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","16201","key"," "," ","16.666722222222226","500","250","pog","440.5","2","0","0","261.5","344.5"
"","psychophysics","43","416474","0.0-43.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","9805","key"," "," ","16.66660817717206","500","250","pog","412.5","2","0","0","375.5","315.5"
"","psychophysics","44","447371","0.0-44.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","30890","key"," "," ","16.666696708041","500","250","pog","455.5","2","0","0","322.5","351.5"
"","psychophysics","45","467946","0.0-45.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","20572","key"," "," ","16.666665044606667","500","250","pog","377.5","2","0","0","246.5","289.5"
"","psychophysics","46","489579","0.0-46.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","21628","key"," "," ","16.666642251349273","500","250","pog","444.5","2","0","0","381.5","354.5"
"","psychophysics","47","500202","0.0-47.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","10618","key"," "," ","16.666602825745667","500","250","pog","413.5","2","0","0","384.5","328.5"
"","psychophysics","48","524079","0.0-48.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","23874","key"," "," ","16.666649196366162","500","250","pog","436.5","2","0","0","328.5","339.5"
"","psychophysics","49","539402","0.0-49.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","15316","key"," "," ","16.66674537540799","500","250","pog","425.5","2","0","0","357.5","326.5"
"","psychophysics","50","557838","0.0-50.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","18432","key"," "," ","16.66671945701366","500","250","pog","460.5","2","0","0","252.5","358.5"
"","psychophysics","51","576346","0.0-51.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","18505","key"," "," ","16.66671956717763","500","250","pog","442.5","2","0","0","263.5","332.5"
"","psychophysics","52","610298","0.0-52.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","33947","key"," "," ","16.666656357388284","500","250","pog","409.5","2","0","0","396.5","306.5"
"","psychophysics","53","613626","0.0-53.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","3324","key"," "," ","16.666611111110825","500","250","inst","","","","","",""
"","psychophysics","54","618169","0.0-54.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","4535","key"," "," ","16.66691176470597","500","250","instEB0","40","","0","0","40","40"
"","psychophysics","55","623821","0.0-55.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","5649","key"," "," ","16.66647633136086","500","250","instEB1","30","1","0","0","30","70"
"","psychophysics","56","630585","0.0-56.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","6760","key"," "," ","16.666669135802586","500","250","instEB2","60","1","0","0","60","40"
"","psychophysics","57","634317","0.0-57.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","3727","key"," "," ","16.666582959640934","500","250","instEB3","45","1","0","0","45","65"
