"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","start","jitterX","jitterY","parA"
"","psychophysics","183","20533","0.0-183.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","98","key"," "," ","6.944538461538636","500","250","br","-5","1","-5","-12","-7","300"
"","psychophysics","184","20619","0.0-184.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","85","key"," "," ","6.949000000000221","500","250","br","19","1","19","-20","-1","300"
"","psychophysics","185","20736","0.0-185.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","116","key"," "," ","6.942250000000058","500","250","br","-36","1","-36","-3","-7","300"
"","psychophysics","186","20867","0.0-186.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","130","key"," "," ","6.944555555555578","500","250","br","-18","1","-18","9","-5","300"
"","psychophysics","187","20906","0.0-187.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","39","key"," "," ","6.9467500000000655","500","250","br","-25","1","-25","-5","24","300"
"","psychophysics","188","20992","0.0-188.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","83","key"," "," ","6.943999999999808","500","250","br","47","1","47","-17","16","300"
"","psychophysics","189","21077","0.0-189.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","84","key"," "," ","6.946000000000243","500","250","inst","","","","","",""
"","psychophysics","190","21231","0.0-190.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","152","key"," "," ","6.945571428571427","500","250","instPog0","190","1","190","0","0","160"
"","psychophysics","191","21477","0.0-191.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","245","key"," "," ","6.945382352941177","500","250","instPog1","190","1","190","0","0","160"
"","psychophysics","192","21621","0.0-192.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","143","key"," "," ","6.946700000000055","500","250","instPog2","190","1","190","0","0","160"
