"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"2206"," ","psychophysics","76","1907374","0.0-76.0"," 4268","key"," ","16.6830992366397","500","250","instZol0","0","0","0","0","",""
"22014"," ","psychophysics","77","1929390","0.0-77.0"," 4268","key"," ","16.683310841546636","500","250","instZol1","2.7755575615628914e-17","0","0","-1.3","",""
"35485"," ","psychophysics","78","1964878","0.0-78.0"," 4268","key"," ","16.68323424270936","500","250","instZol2","-0.8999999999999992","0","0","2","",""
"1438"," ","psychophysics","79","1966318","0.0-79.0"," 4268","key"," ","16.686329411764575","500","250","inst","","","","","",""
"16158"," ","psychophysics","80","1982478","0.0-80.0"," 4268","key"," ","16.683380165289122","500","250","zol","0.01999999999999999","28","-14","0.38","",""
"8077"," ","psychophysics","81","1990557","0.0-81.0"," 4268","key"," ","16.683020703933696","500","250","zol","-1.25","-10","9","-0.05","",""
"8847"," ","psychophysics","82","1999408","0.0-82.0"," 4268","key"," ","16.682894339622877","500","250","zol","-1.02","-14","-16","0.52","",""
"7355"," ","psychophysics","83","2006765","0.0-83.0"," 4268","key"," ","16.6827386363637","500","250","zol","-1.5100000000000005","28","11","-0.29","",""
"5837"," ","psychophysics","84","2012606","0.0-84.0"," 4268","key"," ","16.68332664756422","500","250","zol","-1.7500000000000007","-9","19","0.65","",""
"7661"," ","psychophysics","85","2020270","0.0-85.0"," 4268","key"," ","16.683240174672232","500","250","zol","-0.9799999999999999","-15","16","-0.72","",""
"4957"," ","psychophysics","86","2025230","0.0-86.0"," 4268","key"," ","16.683500000000365","500","250","zol","-1.4200000000000004","2","5","0.22","",""
"6780"," ","psychophysics","87","2032014","0.0-87.0"," 4268","key"," ","16.682729064039037","500","250","zol","-1.1500000000000001","-5","-7","0.55","",""
"7805"," ","psychophysics","88","2039821","0.0-88.0"," 4268","key"," ","16.6835224839402","500","250","zol","-1.18","14","11","0.28","",""
"4302"," ","psychophysics","89","2044125","0.0-89.0"," 4268","key"," ","16.683412451362273","500","250","zol","-1.11","2","-23","0.21","",""
"12670"," ","psychophysics","90","2056798","0.0-90.0"," 4268","key"," ","16.683345191040825","500","250","zol","-1.3900000000000001","-27","12","-0.51","",""
"9868"," ","psychophysics","91","2066669","0.0-91.0"," 4268","key"," ","16.683281355932497","500","250","zol","-1.5400000000000005","-15","-29","0.14","",""
"7452"," ","psychophysics","92","2074125","0.0-92.0"," 4268","key"," ","16.683244394619255","500","250","zol","-1.7200000000000006","-6","4","0.12","",""
"7214"," ","psychophysics","93","2081341","0.0-93.0"," 4268","key"," ","16.6839351851851","500","250","zol","-1.29","25","-20","-0.71","",""
"7662"," ","psychophysics","94","2089005","0.0-94.0"," 4268","key"," ","16.683325327510893","500","250","zol","-1.4000000000000001","24","7","-0.3","",""
"1134"," ","psychophysics","95","2090141","0.0-95.0"," 4268","key"," ","16.682910447759525","500","250","inst","","","","","",""
"2798"," ","psychophysics","96","2092941","0.0-96.0"," 4268","key"," ","16.68313173652755","500","250","instPz0","50","","","50","50",""
"10462"," ","psychophysics","97","2103405","0.0-97.0"," 4268","key"," ","16.683658146964813","500","250","instPz1","51","","","25","50",""
"9326"," ","psychophysics","98","2112732","0.0-98.0"," 4268","key"," ","16.683763440860282","500","250","instPz2","26","","","15","25",""
"13403"," ","psychophysics","99","2126141","0.0-99.0"," 4268","key"," ","16.683259028642162","500","250","instPz3","33","","","15","25",""
"6064"," ","psychophysics","100","2132206","0.0-100.0"," 4268","key"," ","16.68339393939438","500","250","instPz4","35","","","15","30",""
"989"," ","psychophysics","101","2133196","0.0-101.0"," 4268","key"," ","16.680344827585564","500","250","inst","","","","","",""
"6926"," ","psychophysics","102","2140124","0.0-102.0"," 4268","key"," ","16.68289855072513","500","250","pz","60","","","15","50",""
"4894"," ","psychophysics","103","2145020","0.0-103.0"," 4268","key"," ","16.68339931740626","500","250","pz","31","","","15","24",""
"5262"," ","psychophysics","104","2150285","0.0-104.0"," 4268","key"," ","16.68384713375686","500","250","pz","64","","","15","53",""
"4622"," ","psychophysics","105","2154908","0.0-105.0"," 4268","key"," ","16.682942028985817","500","250","pz","34","","","15","24",""
"5068"," ","psychophysics","106","2159980","0.0-106.0"," 4268","key"," ","16.683082508250592","500","250","pz","26","","","15","20",""
"4381"," ","psychophysics","107","2164364","0.0-107.0"," 4268","key"," ","16.6833167938935","500","250","pz","65","","","15","54",""
"4078"," ","psychophysics","108","2168444","0.0-108.0"," 4268","key"," ","16.682823770490597","500","250","pz","50","","","15","44",""
"3246"," ","psychophysics","109","2171692","0.0-109.0"," 4268","key"," ","16.682440414508427","500","250","pz","43","","","15","35",""
"3677"," ","psychophysics","110","2175372","0.0-110.0"," 4268","key"," ","16.683027272726495","500","250","pz","65","","","15","60",""
"4158"," ","psychophysics","111","2179532","0.0-111.0"," 4268","key"," ","16.682189516127934","500","250","pz","48","","","15","42",""
"2988"," ","psychophysics","112","2182524","0.0-112.0"," 4268","key"," ","16.68370949720714","500","250","pz","36","","","15","27",""
"5294"," ","psychophysics","113","2187820","0.0-113.0"," 4268","key"," ","16.682636075949333","500","250","pz","63","","","15","54",""
"5950"," ","psychophysics","114","2193772","0.0-114.0"," 4268","key"," ","16.683359550561995","500","250","pz","48","","","15","36",""
"4414"," ","psychophysics","115","2198188","0.0-115.0"," 4268","key"," ","16.684378787878703","500","250","pz","46","","","15","40",""
"2622"," ","psychophysics","116","2200812","0.0-116.0"," 4268","key"," ","16.68289743589524","500","250","pz","37","","","15","29",""
"991"," ","psychophysics","117","2201804","0.0-117.0"," 4268","key"," ","16.68270689655288","500","250","inst","","","","","",""
"6348"," ","psychophysics","118","2208156","0.0-118.0"," 4268","key"," ","16.683373684210604","500","250","instTilt0","-5","","","-5","-5","2"
"11374"," ","psychophysics","119","2219532","0.0-119.0"," 4268","key"," ","16.683271659324806","500","250","instTilt1","-6","","","5","-5","2"
"5950"," ","psychophysics","120","2225484","0.0-120.0"," 4268","key"," ","16.682966292134665","500","250","instTilt2","-7","","","5","-5","2"
"3726"," ","psychophysics","121","2229212","0.0-121.0"," 4268","key"," ","16.68347747747887","500","250","instTilt","13","","","","9","2"
"7054"," ","psychophysics","122","2236268","0.0-122.0"," 4268","key"," ","16.68375118483317","500","250","instTilt","7","","","","9","1"
"958"," ","psychophysics","123","2237228","0.0-123.0"," 4268","key"," ","16.680052631575485","500","250","inst","","","","","",""
"3534"," ","psychophysics","124","2240763","0.0-124.0"," 4268","key"," ","16.68233175355482","500","250","tilt","-12","","","","-7","1"
"3038"," ","psychophysics","125","2243804","0.0-125.0"," 4268","key"," ","16.68344751381166","500","250","tilt","13","","","","10","0"
"6046"," ","psychophysics","126","2249851","0.0-126.0"," 4268","key"," ","16.68330470914114","500","250","tilt","-8","","","","-7","0"
"7052"," ","psychophysics","127","2256908","0.0-127.0"," 4268","key"," ","16.683545023696144","500","250","tilt","-12","","","","-8","0"
"10142"," ","psychophysics","128","2267052","0.0-128.0"," 4268","key"," ","16.683420098846995","500","250","tilt","8","","","","5","0"
"6192"," ","psychophysics","129","2273246","0.0-129.0"," 4268","key"," ","16.684061994609195","500","250","tilt","13","","","","6","0"
"4908"," ","psychophysics","130","2278156","0.0-130.0"," 4268","key"," ","16.683372013650693","500","250","tilt","-11","","","","-2","1"
"4254"," ","psychophysics","131","2282412","0.0-131.0"," 4268","key"," ","16.682767716535242","500","250","tilt","13","","","","6","0"
"4286"," ","psychophysics","132","2286700","0.0-132.0"," 4268","key"," ","16.682507812500262","500","250","tilt","11","","","","4","0"
"3134"," ","psychophysics","133","2289836","0.0-133.0"," 4268","key"," ","16.683491978610064","500","250","tilt","-6","","","","-1","0"
"4942"," ","psychophysics","134","2294780","0.0-134.0"," 4268","key"," ","16.683413559323082","500","250","tilt","-8","","","","-5","0"
"5534"," ","psychophysics","135","2300316","0.0-135.0"," 4268","key"," ","16.684075528700916","500","250","tilt","4","","","","2","1"
"3870"," ","psychophysics","136","2304188","0.0-136.0"," 4268","key"," ","16.6832510822501","500","250","tilt","-8","","","","-2","1"
"4302"," ","psychophysics","137","2308492","0.0-137.0"," 4268","key"," ","16.68333852140175","500","250","tilt","-11","","","","-6","1"
"5166"," ","psychophysics","138","2313660","0.0-138.0"," 4268","key"," ","16.682974110031953","500","250","tilt","7","","","","7","1"
"974"," ","psychophysics","139","2314636","0.0-139.0"," 4268","key"," ","16.68435087719148","500","250","inst","","","","","",""
"12525"," ","psychophysics","140","2327164","0.0-140.0"," 4268","key"," ","16.68344133333303","500","250","instPog0","161","0","0","190","160",""
"12300"," ","psychophysics","141","2339467","0.0-141.0"," 4268","key"," ","16.683666214382267","500","250","instPog1","179","0","0","190","160",""
"8815"," ","psychophysics","142","2348284","0.0-142.0"," 4268","key"," ","16.68380075901397","500","250","instPog2","179","0","0","190","160",""
"956"," ","psychophysics","143","2349244","0.0-143.0"," 4268","key"," ","16.683491228066647","500","250","inst","","","","","",""
"20574"," ","psychophysics","144","2369819","0.0-144.0"," 4268","key"," ","16.683249999999973","500","250","pog","153","0","0","217","129",""
"3408"," ","psychophysics","145","2373229","0.0-145.0"," 4268","key"," ","16.68378431372591","500","250","pog","172","0","0","177","139",""
"3021"," ","psychophysics","146","2376252","0.0-146.0"," 4268","key"," ","16.683333333333334","500","250","pog","204","0","0","204","172",""
"7023"," ","psychophysics","147","2383276","0.0-147.0"," 4268","key"," ","16.68339761904707","500","250","pog","181","0","0","94","143",""
"1726"," ","psychophysics","148","2385003","0.0-148.0"," 4268","key"," ","16.68069607843462","500","250","pog","211","0","0","211","189",""
"956"," ","psychophysics","149","2385963","0.0-149.0"," 4268","key"," ","16.683105263156456","500","250","pog","188","0","0","188","153",""
"8368"," ","psychophysics","150","2394333","0.0-150.0"," 4268","key"," ","16.683385229540317","500","250","pog","225","0","0","103","197",""
"6380"," ","psychophysics","151","2400715","0.0-151.0"," 4268","key"," ","16.682745406824576","500","250","pog","164","0","0","96","140",""
"6318"," ","psychophysics","152","2407035","0.0-152.0"," 4268","key"," ","16.683338624338997","500","250","pog","199","0","0","136","165",""
"9118"," ","psychophysics","153","2416155","0.0-153.0"," 4268","key"," ","16.68327472527467","500","250","pog","170","0","0","87","145",""
"10814"," ","psychophysics","154","2426971","0.0-154.0"," 4268","key"," ","16.68339412673873","500","250","pog","204","0","0","88","180",""
"6862"," ","psychophysics","155","2433835","0.0-155.0"," 4268","key"," ","16.68343170731692","500","250","pog","179","0","0","233","146",""
"4013"," ","psychophysics","156","2437851","0.0-156.0"," 4268","key"," ","16.683504166667504","500","250","pog","229","0","0","190","196",""
"4990"," ","psychophysics","157","2442843","0.0-157.0"," 4268","key"," ","16.683610738255084","500","250","pog","179","0","0","95","150",""
"4318"," ","psychophysics","158","2447163","0.0-158.0"," 4268","key"," ","16.683364341084218","500","250","pog","205","0","0","155","187",""
"862"," ","psychophysics","159","2448027","0.0-159.0"," 4268","key"," ","16.683274509805237","500","250","inst","","","","","",""
"1246"," ","psychophysics","160","2449276","0.0-160.0"," 4268","key"," ","16.686283783785797","500","250","instML0","0","0","0","0","150","150"
"7774"," ","psychophysics","161","2457050","0.0-161.0"," 4268","key"," ","16.683298924731552","500","250","instML1","-2","0","0","-60","120","180"
"8302"," ","psychophysics","162","2465354","0.0-162.0"," 4268","key"," ","16.683927565392377","500","250","instML2","8","0","0","60","180","120"
"4078"," ","psychophysics","163","2469434","0.0-163.0"," 4268","key"," ","16.684024691359436","500","250","instML3","-60","0","0","-60","120","180"
"2526"," ","psychophysics","164","2471962","0.0-164.0"," 4268","key"," ","16.681761589403948","500","250","inst","","","","","",""
