pid task resp start version parA rt time_elapsed
60d5353d0248aca07f34435e pz 21 58 2 24 5112 154623
60d5353d0248aca07f34435e pz 45 39 2 52 4591 159216
60d5353d0248aca07f34435e pz 21 46 2 23 4975 164193
60d5353d0248aca07f34435e pz 27 49 2 31 5261 169458
60d5353d0248aca07f34435e pz 50 51 2 57 2903 172362
60d5353d0248aca07f34435e pz 47 56 2 55 4464 176827
60d5353d0248aca07f34435e pz 41 56 2 42 4215 181043
60d5353d0248aca07f34435e br -12 21 1 232 3631 207705
60d5353d0248aca07f34435e br -12 -8 1 297 2807 210513
60d5353d0248aca07f34435e br -12 10 1 224 4543 215058
60d5353d0248aca07f34435e br -16 17 1 230 4647 219706
60d5353d0248aca07f34435e br -15 9 1 220 6336 226043
60d5353d0248aca07f34435e br -21 -37 1 241 3511 229556
60d5353d0248aca07f34435e br -18 -16 1 256 2118 231676
60d5353d0248aca07f34435e br -17 -40 1 205 3343 235021
60d5353d0248aca07f34435e br -19 26 1 208 3783 238805
60d5353d0248aca07f34435e br -17 -45 1 239 3551 242358
60d5353d0248aca07f34435e br -18 -8 1 240 1479 243838
60d5353d0248aca07f34435e br -13 -24 1 218 5232 249071
60d5353d0248aca07f34435e br -12 -6 1 206 2575 251647
60d5353d0248aca07f34435e br -15 -22 1 294 4245 255896
60d5353d0248aca07f34435e br -20 -20 1 205 2167 258064
60d5353d0248aca07f34435e pog 300 370 2 324 5327 283716
60d5353d0248aca07f34435e pog 356 360 2 374 2560 286277
60d5353d0248aca07f34435e pog 326 362 2 353 3392 289670
60d5353d0248aca07f34435e pog 330 312 2 359 3070 292742
60d5353d0248aca07f34435e pog 342 298 2 368 7240 299983
60d5353d0248aca07f34435e pog 327 331 2 354 3223 303208
60d5353d0248aca07f34435e pog 322 388 2 347 6272 309481
60d5353d0248aca07f34435e pog 298 296 2 317 1823 311305
60d5353d0248aca07f34435e pog 287 371 2 303 5496 316801
60d5353d0248aca07f34435e pog 354 302 2 370 4640 321442
60d5353d0248aca07f34435e pog 308 296 2 328 2199 323643
60d5353d0248aca07f34435e pog 325 371 2 346 2928 326571
60d5353d0248aca07f34435e pog 292 316 2 317 3488 330068
60d5353d0248aca07f34435e pog 295 371 2 321 5791 335861
60d5353d0248aca07f34435e pog 340 286 2 359 5344 341206
60d5353d0248aca07f34435e eb 55 52 1 47 3095 374490
60d5353d0248aca07f34435e eb 57 34 1 50 3663 378155
60d5353d0248aca07f34435e eb 57 25 1 52 5268 383428
60d5353d0248aca07f34435e eb 57 29 1 52 5686 389117
60d5353d0248aca07f34435e eb 45 39 1 44 2670 391790
60d5353d0248aca07f34435e eb 35 45 1 32 4263 396054
60d5353d0248aca07f34435e eb 50 48 1 41 4287 400343
60d5353d0248aca07f34435e eb 48 38 1 44 1782 402127
60d5353d0248aca07f34435e eb 46 29 1 42 3672 405800
60d5353d0248aca07f34435e eb 28 36 1 27 3021 408824
60d5353d0248aca07f34435e eb 50 36 1 45 2952 411777
60d5353d0248aca07f34435e eb 29 50 1 26 5830 417609
60d5353d0248aca07f34435e eb 43 46 1 33 3055 420666
60d5353d0248aca07f34435e eb 40 36 1 34 2686 423355
60d5353d0248aca07f34435e eb 57 41 1 51 2678 426035
60d5353d0248aca07f34435e zol 1.03 -0.33 1 NA null 464220
60d5353d0248aca07f34435e zol 0.69 0.31 1 NA 5949 470170
60d5353d0248aca07f34435e zol 0.85 0.35 1 NA 2174 472347
60d5353d0248aca07f34435e zol 1.07 0.43 1 NA 2351 474699
60d5353d0248aca07f34435e zol 1.32 -0.02 1 NA 2487 477188
60d5353d0248aca07f34435e zol 1.38 -0.68 1 NA 2942 480132
60d5353d0248aca07f34435e zol 0.79 0.71 1 NA 4607 484740
60d5353d0248aca07f34435e zol 1.12 0.28 1 NA 5231 489974
60d5353d0248aca07f34435e zol 0.8 0.5 1 NA 1990 491966
60d5353d0248aca07f34435e zol 0.77 0.73 1 NA 2038 494006
60d5353d0248aca07f34435e zol 1.27 0.13 1 NA 5069 499079
60d5353d0248aca07f34435e zol 1.21 -0.51 1 NA 2597 501679
60d5353d0248aca07f34435e zol 0.95 0.75 1 NA 3955 505640
60d5353d0248aca07f34435e zol 0.7 -0.6 1 NA 6406 512049
60d5353d0248aca07f34435e zol 0.84 -0.34 1 NA 3366 515417
60d5353d0248aca07f34435e zol -0.82 -0.48 2 NA 7367 536213
60d5353d0248aca07f34435e zol -0.96 -0.24 2 NA 5079 541294
60d5353d0248aca07f34435e zol -0.91 -0.09 2 NA 2950 544246
60d5353d0248aca07f34435e zol -0.93 -0.07 2 NA 3358 547607
60d5353d0248aca07f34435e zol -0.25 0.35 2 NA 4551 552159
60d5353d0248aca07f34435e zol -0.87 -0.33 2 NA 2798 554959
60d5353d0248aca07f34435e zol -1.61 0.41 2 NA 1862 556824
60d5353d0248aca07f34435e zol -1.47 0.07 2 NA 1822 558648
60d5353d0248aca07f34435e zol -1.28 -0.32 2 NA 2455 561104
60d5353d0248aca07f34435e zol -1.83 0.33 2 NA 2493 563601
60d5353d0248aca07f34435e zol -1.35 -0.15 2 NA 2518 566121
60d5353d0248aca07f34435e zol -1.41 -0.59 2 NA 3103 569225
60d5353d0248aca07f34435e zol -0.98 0.58 2 NA 3198 572426
60d5353d0248aca07f34435e zol -0.7 -0.7 2 NA 3823 576251
60d5353d0248aca07f34435e zol -1.44 -0.16 2 NA 2607 578859
60d5353d0248aca07f34435e pz 46 26 1 34 2605 593013
60d5353d0248aca07f34435e pz 68 39 1 59 3775 596790
60d5353d0248aca07f34435e pz 37 39 1 28 3789 600583
60d5353d0248aca07f34435e pz 46 41 1 33 2239 602823
60d5353d0248aca07f34435e pz 37 35 1 30 2431 605255
60d5353d0248aca07f34435e pz 71 42 1 57 4168 609424
60d5353d0248aca07f34435e pz 47 55 1 32 2664 612089
60d5353d0248aca07f34435e pz 35 39 1 22 2191 614281
60d5353d0248aca07f34435e pz 67 44 1 44 2903 617185
60d5353d0248aca07f34435e pz 53 38 1 43 3080 620267
60d5353d0248aca07f34435e pz 59 47 1 57 1862 622131
60d5353d0248aca07f34435e pz 43 41 1 33 2671 624803
60d5353d0248aca07f34435e pz 46 60 1 32 5109 629915
60d5353d0248aca07f34435e pz 56 53 1 52 2319 632236
60d5353d0248aca07f34435e pz 55 51 1 58 1510 633749
60d5353d0248aca07f34435e pog 206 108 1 184 3847 648766
60d5353d0248aca07f34435e pog 163 155 1 151 2527 651295
60d5353d0248aca07f34435e pog 196 188 1 181 2307 653607
60d5353d0248aca07f34435e pog 164 188 1 147 2687 656296
60d5353d0248aca07f34435e pog 217 219 1 196 1695 657992
60d5353d0248aca07f34435e pog 177 125 1 157 3551 661544
60d5353d0248aca07f34435e pog 147 101 1 135 2631 664177
60d5353d0248aca07f34435e pog 203 165 1 185 3111 667289
60d5353d0248aca07f34435e pog 155 101 1 135 4184 671474
60d5353d0248aca07f34435e pog 188 128 1 161 3575 675051
60d5353d0248aca07f34435e pog 202 102 1 173 3776 678828
60d5353d0248aca07f34435e pog 176 168 1 169 1335 680164
60d5353d0248aca07f34435e pog 192 166 1 175 1743 681908
60d5353d0248aca07f34435e pog 199 179 1 177 2367 684276
60d5353d0248aca07f34435e pog 209 149 1 188 4024 688302
