pid sid task resp start version parA rt time_elapsed block
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol 1 -0.2 1 NA 2777 914034 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol 0.86 0.34 1 NA 4625 918666 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol 1.16 0.14 1 NA 3442 922114 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol 0.9 0.4 1 NA 2338 924458 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 22 24 2 207 3396 937746 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 19 -28 2 274 6573 944322 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 12 9 2 238 4195 948521 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 20 20 2 283 4228 952754 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 14 -5 2 221 6124 958881 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 17 -28 2 253 5745 964634 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 20 21 2 282 3395 968033 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 19 19 2 259 3476 971513 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 16 24 2 213 4659 976178 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 16 15 2 240 4058 980241 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 23 25 2 239 3202 983449 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 17 -22 2 238 6490 989946 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 20 19 2 266 4644 994594 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 16 12 2 292 4024 998625 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 br 15 -12 2 292 6593 1005225 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 36 49 1 22 3739 1047690 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 91 26 1 58 7711 1055410 1
