partip,task,round,trial,width,hor,flip,start,bias,train,jit_x,jit_y,time
Mcdonalds,2,2,1,165,true,true,-17,17,false,50,30,15
Mcdonalds,2,2,2,157,true,true,5,-5,false,-50,62,15
Mcdonalds,2,2,3,179,false,false,25,25,false,-67,-65,15
Mcdonalds,2,2,4,130,false,false,4,4,false,3,65,15
Mcdonalds,2,2,5,169,true,false,5,5,false,-18,-51,15
Mcdonalds,2,2,6,143,false,true,-3,3,false,-47,15,15
Mcdonalds,2,2,7,130,false,true,-5,5,false,79,82,15
Mcdonalds,2,2,8,101,true,true,4,-4,false,56,-98,15
Mcdonalds,2,2,9,148,false,false,18,18,false,17,71,15
Mcdonalds,2,2,10,168,true,true,26,-26,false,44,89,15
Mcdonalds,2,2,11,116,false,false,16,16,false,10,-74,15
Mcdonalds,2,2,12,149,false,true,-18,18,false,-91,-1,15
Mcdonalds,2,2,13,163,false,true,-7,7,false,34,93,15
Mcdonalds,2,2,14,134,false,true,16,-16,false,-99,-45,15
Mcdonalds,2,2,15,167,false,true,13,-13,false,35,68,15
Mcdonalds,2,2,16,183,true,true,-1,1,false,-88,-39,15
Mcdonalds,2,2,17,156,true,false,-23,-23,false,5,77,15
Mcdonalds,2,2,18,125,true,true,-4,4,false,42,-37,15
Mcdonalds,2,2,19,189,true,true,20,-20,false,-17,64,15
Mcdonalds,2,2,20,181,false,true,1,-1,false,-35,-63,15
Mcdonalds,2,2,21,101,false,false,-14,-14,false,-4,-96,15
Mcdonalds,2,2,22,157,true,false,-5,-5,false,54,-22,15
Mcdonalds,2,2,23,139,true,false,-10,-10,false,-40,1,15
Mcdonalds,2,2,24,143,false,false,8,8,false,-2,66,15
Mcdonalds,2,2,25,160,true,false,23,23,false,26,51,15
Mcdonalds,2,2,26,186,true,false,-13,-13,false,50,41,15
Mcdonalds,2,2,27,161,false,false,-23,-23,false,-78,-55,15
Mcdonalds,2,2,28,103,true,false,3,3,false,-89,-30,14
Mcdonalds,2,2,29,120,false,false,-19,-19,false,-40,21,15
Mcdonalds,2,2,30,122,true,false,-2,-2,false,-75,-58,15
Mcdonalds,2,2,31,179,false,true,16,-16,false,2,26,15
